ID,名前,Tier,価格,効果タイプ,効果値,説明,グループ,アイコン
cosmic_blessing,宇宙の加護,0,250000,cosmic_blessing,,"フィーバー中、30%の確率でゲージがLv6にリセットされる",特殊スキル,workspace_premium
eternal_mania,永遠の熱狂,0,200000,eternal_mania,,"フィーバー終了時にゲージが4溜まった状態になる",特殊スキル,workspace_premium
good_feel,手応え,0,200000,good_feel,,"パワー2倍 & ガチャチケットのドロップを確定させる",特殊スキル,workspace_premium
hard_mode,ハードモード,0,500000,hard_mode,,"パワー5倍 & 魚の売却額8倍",特殊スキル,workspace_premium
infinite_bait,無限餌,0,250000,infinite_bait,,"釣り時に餌を消費しなくなる",特殊スキル,workspace_premium
magnet,マグネット,0,200000,magnet,,"宝箱の抽選から木の宝箱を除外する",特殊スキル,workspace_premium
master_angler_special,太公望,0,250000,master_angler_special,,"釣果が常に2倍になり、ドロップ獲得量も2倍になる",特殊スキル,workspace_premium
master_needle,達人の針,0,150000,master_needle,,"ゲージ赤ゾーンで停止時、捕獲率が100%になる",特殊スキル,workspace_premium
mobile_shop,出張売店,0,150000,mobile_shop,,"釣り上げ成功時に自動で魚を売却する",特殊スキル,workspace_premium
perpetual_engine,永久機関,0,300000,perpetual_engine,,"船の燃料を消費しなくなる",特殊スキル,workspace_premium
rank_sniper_a,Aランクスナイパー,0,200000,rank_sniper_fixed,,"Aランクの魚しか釣れなくなる",特殊スキル,workspace_premium
rank_sniper_b,Bランクスナイパー,0,150000,rank_sniper_fixed,,"Bランクの魚しか釣れなくなる",特殊スキル,workspace_premium
rank_sniper_c,Cランクスナイパー,0,120000,rank_sniper_fixed,,"Cランクの魚しか釣れなくなる",特殊スキル,workspace_premium
rank_sniper_s,Sランクスナイパー,0,300000,rank_sniper_fixed,,"Sランクの魚しか釣れなくなる",特殊スキル,workspace_premium
gauge_slow_1,ゲージ減速 I,1,300,gauge_slow,0.1,"ゲージ速度-10%",強化グループ,bolt
gauge_slow_2,ゲージ減速 II,2,1000,gauge_slow,0.2,"ゲージ速度-20%",強化グループ,bolt
gauge_slow_3,ゲージ減速 III,3,5000,gauge_slow,0.3,"ゲージ速度-30%",強化グループ,bolt
gauge_slow_4,ゲージ減速 極,4,15000,gauge_slow,0.45,"ゲージ速度-45%",強化グループ,bolt
overdrive_1,オーバードライブ I,1,1000,overdrive,0.15,"パワー+15% & ゲージ速度+5%",強化グループ,bolt
overdrive_2,オーバードライブ II,2,4000,overdrive,0.3,"パワー+30% & ゲージ速度+10%",強化グループ,bolt
overdrive_3,オーバードライブ III,3,10000,overdrive,0.5,"パワー+50% & ゲージ速度+20%",強化グループ,bolt
overdrive_4,オーバードライブ 極,4,30000,overdrive,1,"パワー+100% & ゲージ速度+30%",強化グループ,bolt
patience_1,忍耐力 I,1,400,wait_time_reduction,0.1,"待ち時間を10%短縮",強化グループ,bolt
patience_2,忍耐力 II,2,1500,wait_time_reduction,0.25,"待ち時間を25%短縮",強化グループ,bolt
patience_3,忍耐力 III,3,4000,wait_time_reduction,0.4,"待ち時間を40%短縮",強化グループ,bolt
